Freight_Perturbation_%,Avg_Predicted_LogMonetary_Change_%,Mean_Predicted_LogMonetary
-20.0,4.375,4.8348
-10.0,5.254,4.8814
0.0,0.0,4.6888
10.0,9.803,5.0804
20.0,9.508,5.078
